u_puuid,v_puuid,games,wins,first_ts,last_ts,winrate
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,4KKH1OhwaIa1T2__uEQsYjgOW9cTQRAI9_yKnfLV3hLkjZ44YCbjCPiQI9KTdlWumOA2641UlSW-WQ,1,1,1770589396899,1770589396899,1.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,5glMf24E8fbjCCSy2U3PO6RyCPlk4eMBD4NBkalfyOUiOz4PHE63_kGKUQp39k8LyazB0eSp1wh_3Q,1,1,1770514723560,1770514723560,1.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,7NLI8hxZfLeAwUBkbaeRJh_A6aFvCkVa8d3Nw_NgB00hQs7wxMtclIYjttRLPFteFBniHkU-1IE5Ng,1,0,1770523045172,1770523045172,0.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,8okZ5gKBe090clsMo818VJ7mrTz37dfVSmvR1cDN6O0sQU59IK7lhDpRNPzsplpPoNydmVO69gVoYg,1,0,1770523045172,1770523045172,0.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,9OB4Ta5oUY74qiI7T9EGmcntNtno95GunI20Y7Kjg2MfzTHlOMMwXrJLD_xRv4mxfP6P-l7kQd6NKg,1,1,1770521059350,1770521059350,1.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,A9Gryl88-NNCmJCGNUKqowPUYWWH4gT4CQ-68LTVW0Zx-0TJfvKWLyrM8HZ6czH9UyW28g5qCdq6cA,1,1,1770514723560,1770514723560,1.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,AYvaBu_xWN9A-ba-8sNsUpcDOUTU5cHMRPv7gOMqvRa9oThWicovJbgNo-cTudo3hOn1JKKrI1-vyg,1,1,1770577664628,1770577664628,1.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,B98q34C7oIGGFFBwCetIs63wbtuex26CcXbmsvln3uhXGfTGOpR6FeiW4WVsQ6mssSYKwFz6EP0eNQ,1,0,1770569631329,1770569631329,0.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,CisQTSWXnyH88E0UX7mKHFecV7wIkWzGzCJZFK9p1V0-QsxT61Ry_in8iEnAYjHf03op2Iqcg9iQ1A,1,1,1770596529104,1770596529104,1.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,ECngrkLSEvv1f_4dPeYFKUZX29L-q6w74ecBVGkFfZ72se9t0uLnCTOaL0qQitiY03KFRSHjncM9eg,1,1,1770589396899,1770589396899,1.0
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,FMxhKpdrFU-oOL5E1RUGjhnU4GyidZXuDvUFkspMHNgxcddgM_LSCz900k42pB9gJCMJb443lhGtAA,1,0,1770519467054,1770519467054,0.0
