puuid,games,wins,winrate
0AlW9j9TSZXg0KBfv2FalDv42H-X2yticETIsqSxr4OZ9carjBTPi1AC0iXE7eo2Pt8qeWASux79FA,3,0,0.0
0AwjxH4BwHV8GXgdKIf0OQfXDISKpH6BMXS27by9E6FeuFPJhUoeKLXXYrRhBViL7kYJIyWkIKafYg,1,0,0.0
0B2Nln_udp1rC5DvVOZJ4qtowFGDEmF0zvIdiXFaVrVpIqbN6SDDHQugP4iEGYRYh07BPbxwAAqsDA,1,0,0.0
0CetXreufcjbSkUqTLx1iyA-vpjhb-J-y9O-7WcwhyRLf1FQc5Cw4NCeINCQvYXY9kiSyb3okL68Aw,1,1,1.0
0Cf8Osu7KkdekmmJoURezNGRMPeBJbujEpiPcw4-xZ2LwnhgsSpiEbE5xjGXU8cyFkAaPDkmdA_s4g,1,0,0.0
0Dfd-gxkefTzuU0Wk3BiOuflCOu9gtBeIXgCaEuoKR-hl6gYzy-RvV8BA3VdBo9zIVy9tZaCpipmfg,1,1,1.0
0Et1vOfs_rjgM_EFPiwgqTcrVgDNopHMqicH7Y2w6sOrLorRufp2PTAlVJkSRpMqn9cPlrF7kPH5Bw,1,0,0.0
0EvGjEDuYQd3o_6lA9U0YN1JcebZuP15jHoZM9OX88nF701gLdslsliRsEVWZRtylyeM3mOAgGMB0Q,2,0,0.0
0F_yufOZd9Tcd1LFf0w-nm-vtN5IeeNLAu6sqdkSUytgkxEcXVUSU2j4G7_0SYJN7JpJlGfWvsWRZA,1,0,0.0
0GV0g2G8a6mMdMlSmWlwad9U7AwMVezJWKw1gIoi36HG5UnWeqqxoyWyg71zzvz4AVadAZIgBRiB7Q,1,1,1.0
0HwTw6rxXzsqq29PqN6zkviGp03gN_ByYt6h5f6S_uncAgroG-Nk9Oy8GRMMO8YztRtbCJ5ZZBHG3Q,1,0,0.0
0IaW5aBSwHsfDuiohBDmhPsM1Ufn5-LJu-jJm5xUFF-IA-fezCOigVmVmj-NIrrzgKR-FgnAwk6MMg,1,1,1.0
0JciCJG-kHY7Ngc7f7Zh2YwvxPTcAe9zTxnywTWLJw_zEbaijEab-57LaFCh0MmpfksMaPeZn1MtoA,1,0,0.0
0KVLMS96bFk69F1g8TUeDwtECnh-bcReVC1kY3Uks7bDNAGCmu7GfwxRNEnRvK1lEFlum16lV7YzEw,1,0,0.0
0KZRo1nq1J8s4PArke5l1v5T-dgIw_seCSTB3_5yvMG-yL2tR27qBgBotq7Ylz7wvflPrObYt-f3Mw,2,1,0.5
0L9dnROBarcwHHEkP02QxV12IOu-55HbeWd3-0GSw3jnnJyufoiNyFwv0eVZvCGSg24iQf3bHlzM_Q,1,0,0.0
0LrqCCcakFhR_mrrb27Ftc15BsIUNLnlxk3FaVOBlgCxnwbg4Tle2Vk-chE1hP6PMKt6RVCfk3YyMw,1,1,1.0
0MyOlmxXREU0jQ__fgcdQwWSamWOLDSi0ce3vq1xGClHMftW_8Z3WzLsIFrrbhkeBEiXz9-s71dzLA,1,0,0.0
0Mzti2lVgAxf99BOaP-n96ktwBhPYa1yX_pF9Tw7ZtPOKbvTJ1i5pZrNCvGv4PFqKoT3rqWUsWTH6w,1,0,0.0
0NrldQHymJuDjOVohyXC3JrIsWiDyrlfV9KS2iFhIaDooCNrmYodQlCqhMsOtu4syhY096nU8EVlgg,2,1,0.5
0NxpBXAgKgWv1LOjbZbu-v_tRXCkWDjKaNMech8x0CmNCtDyuAHYIa1W1VY2-Szr5nEhMx_GBrzEDw,1,0,0.0
0OEkuI_jOgIbxgE7LOU9J0LaDPsJvSsS0065PNWnI8waPjrGzJAqfcsw-Tb6lNrRNGXIhejjwsDM1g,1,1,1.0
0Rh4wzpi1K7ZzbuYC-aaC4kEqkgDTGGABPHKVwWE7EsdWieFUV-q6sxINM3x0CQmKzGHSwFxP1ODGg,1,0,0.0
0Rn3HHm1Y_HJ96X3duorsn2xtCVVRqv5GFRkDBwxa3d8tCMUP3AM2OxLbK_jTDvsYXj8Egn5NrTJSw,1,1,1.0
0SJGQ7i_KVl9pH_6DnumjptxZng7vhYHpjr95EC4Hv6xjJx3Cd1-MXoztTxNwFcbtIys6QSiQmoHEg,1,0,0.0
0T48fvGwYMq-efuln4JyCXEzc-T1S6zcGD-sVjEPmXdbvAax9hIJAJHbvUdOGSsyOrO6kHSE1diq9Q,1,0,0.0
0TS2T3q6U-HvCcRvrHD901ufBcqf8PJQD9FIezhhb87jgq6t64QIiKAG6BAcpiQkcGw7rmfA97dyYg,1,0,0.0
0TzFgyARfrOLgJKefBqwOVtPmYyveTrF4ilNbg0_kcwqK6Y9lY1fhQzcrW1JYA6yJyipxMAYGtjqOA,1,0,0.0
0V5VyIswq-TXJaJY4-16Qf3jIiAGvaTQRmV4ca-nBnzmRRvMNGU45b6O2L_yv7MWlcR85JJhqdaHvg,1,0,0.0
0WBaYe_oMKF0z3iHxzwbhg7WEbyVRVDb2YST1gn6XggeLVUYVobScNRWJSidlDRSJGz6OWH0Y6TO_A,1,0,0.0
0X5zxe4H6r0RYtyEyZA7o-rDyYC354yT5Cw-CYDuiAd92lCPvmP4v0CRzhxei-Xe8Hy04IKY3YIkOQ,1,0,0.0
0XryAj0o7hKAo1BA7aNaygytdjNWThn1J6sUMvl5BGuJ8bUwuvH_8u4Rxdekm5_pOfcjxq5qlcSf7A,1,0,0.0
0YJon8eDAjrrtIQ8BBeDoNhc2xgrch1e3PDB1fEWVTQsKCaWQplCRXVS0R5nJ0oiNNcU_-J6SI7J6A,1,0,0.0
0_Bv76XMTEIujrW9HnoCMAZK6vmbP1TWpN2aiHWQJuHysG6xAOXseAGDdcRKDazbtrlsYpl6hgExKQ,1,1,1.0
0_bmrySZuOKUop_QbHwKTHCR1CaXPg9qUgcOFI3V9LYmMGsVL8Yr5y6vRplQKErgwtb81YFS2ZIccA,1,1,1.0
0acvCBCKrWCi-yqKf8YVBQjk-0pI3tlWtysuwZt62wx7f0PinSziSE6nSnp5rypXATL2-6qeaLC0SA,14,3,0.21428571428571427
0baPVUA36ozzZ1cj9pKacWTc5ApBXKEI5a-habRl0UPvycqL5uLffaoeoXrUf7R2oFjn9uPnaH468A,1,1,1.0
0e3JNWys4EKB_yeD7M4-RkoFljExAGFuz_hedk-DYdX5GH46HxerMOFBviVgQSiCkfG9CY2VlpnAUg,1,1,1.0
0eECOMfxa17f12KshkTp7Fl5PkQMKrqsoV_ucF1exagus4Yr479NgUmY529vtp_RBzJRaKZrKuI9VA,1,1,1.0
0eJDAjyJpQLdnOrV7W6gx1h_kC8jn0hl7CUT5sW133q7MqBGvnPbflFMrEkRAVA63KAUF5USTcI7Jg,1,0,0.0
0eWBT9WZQpopvJhiejebsdk7MFff8PKISsEKnlHfW_duDj5BpXe_6D2xvIkV7gBwqO7hSszNHpTs5Q,1,1,1.0
0eXxY9Pga_CtVlNnzI6nRiNROZiI8uy1VW9bfbKkr0HYm-p0GN8Ruz0hGkeOO-_cI_ZmDqyLWbL9ZQ,1,1,1.0
0f2gXyRkTseibK4_VveY14bzjq8mF1VckMXCfq25La3azz4Hn_IPuPtJzeNdxFTTQEScUWjDRLeZXg,1,1,1.0
0hOFXzxBRES5xltBF0Qk47g7SvWlq3_saU9VwMFJdIo8ujvc2xyqqxcSs-G9sRolQNyap2nZu0JaiQ,1,1,1.0
0jW0oGCL1XeE9aShOflrlV9X5L9-eX-3sbuqHRUGeVg_-WL3m1PtTNfTtBP3I5ZUD6-Mdv4mIEMrhA,1,1,1.0
0jZ9iE6Dx_bMFagHef7TOzZW-P34TKpWW0iErQ51Gh5mZg1KDYTGQ0vcSLoYo4UwvE3RKzZ-3HI_0Q,1,0,0.0
0k8JAGyAJq6mroPvYeQ4A41sSXwS6MCItcUzfoXZRv_AMFoeAYa5ZP7Fy5eJYqh4rAF1M1W6MJoULQ,1,1,1.0
0kNaQyd71ia7RdwIraMlHRu3jW3STNPWoPZwmIRi5ECG42jTtAOv9c5NfXsTxzZDhZ_33BOZsovqnQ,14,8,0.5714285714285714
0kdehi1zaHzDGXtCRN8gwF0LqVfabHImel2oXeOK6mzzmYxL8pgBVEZcUxLLLDyCHqkPymOMlW9ibg,1,0,0.0
0lCHBz_oiIBMXY8lM2CXNAEI3LOSulSnHehrnPmbl_c3hKM4-4y8dKVqjAc5l8ohEFnNbgzEZioFFQ,1,0,0.0
0lG2bh8nnCOLiHqesnJWpTyTMGeujyl91FsoRRXJkISwI4DRZuXipF33widP6kS1FoOqIMEXMVFvjQ,1,1,1.0
0lMpnWhZupB_eoh-bPJWa9_zfEz4Nhh-ZfyAslNQX_fmNeykrVqgU9H9CQ8WxbxVMMsMbRShS8dNHQ,1,0,0.0
0mzrJH6jiAABNtnaU0tvoKPqjoX34-bmS9Y8YBVqTy4hsOd1T5w2NdyCu2lF_K4q8jAXqGn8TdsdTA,1,1,1.0
0nCNtAP38KUlmlxONgX830_nKK8pl2xK39n8wkXSjQeBOoU9XjNR9RVUNrqvaaBEf0YG7S5ctQzBYQ,1,1,1.0
0nL-GgRuDazo4lbhX3dyjj03rIgjeNamVP5kAfw2kt_b6NA-Tr5oFzQE6asBKO_8EJa4yXLm2ytL2g,2,0,0.0
0nmbwHubGqTmhyb-nf_mSxF9pORAbwaU5Wx8FEzycYfPmm4tDLNQ7Rjucw-PVJvPBg7zF-ykk26Rmw,1,1,1.0
0nyYOF_Pjufm-zzL1iGk7L3qeNhi9oFDLlkOeamc0wVHMoirZ2MGQ3dXBnGFuXtB6RjtJgeYnURHLQ,1,0,0.0
0oFoexuIEek0Z5Rlik5pu0YFj2Dsag-C6ELAKb3vmFo1pQvX_znwAYfsdnX8vnsPtXnzJ9UHqTcGxg,1,1,1.0
0oe_lrfZ678zd9ubxycTxdonPKrJtAbMUpPPrispsZmaPPAsWgC1_mG3dp2MF1QDRq1jMbhYXvAx2Q,1,0,0.0
0qyTtlJI_Ft0zY0gLpxPBC-WkxtbD2Zv68vA2JRwgoGo9pS36n5T1WcED23j0UC3C97vSRxwY9Natw,1,0,0.0
0rPOSZDmMJLFc3Dz-JUheho58vMKilCUDCVH__RPNT12r12p55SoUfmh0SGKdV-L7xnBfy85N7fHdg,1,0,0.0
0s1oGomxNvu5euhftgf2W0uVcbmdWtt1VdynLKPc3t0G1a-27h2Ei2TGWMqGZNIKfWqPCiQFQ98m5A,2,0,0.0
0sP8_loytqAKjy9XHMG7Y5woQrPbnAQ2vycIrIQ4RYK6aFzYcweyshViR7tEsk4f856EeZPN1W275Q,1,1,1.0
0tIpaCjcZAIAtbS3N2Zzf0pu9S4lUt5uoNNtiVOoHO9neG6UrsfFLUs-v_x77YsD5flMRy45ptkVXQ,1,1,1.0
0uInwCoo81XYAl7dWvNLpnxK1t2kwiPdivy3NpRDQtagOof3lh99AhIyHIbFD8Du__uhDHKlJNK3JQ,1,1,1.0
0utp_IWXCokTA1bqroITwL4b4t2ouqf4pLGV17SLZlClZEI0TbPY7l5xv6nIyV5Zecj0pLxdR2l-cw,2,1,0.5
0v25RnqVKrU62rrdrtWdvPTNMoFuX8zHtdavQi3s--H1FAshN59jOKn3ilxEKYwgkaQ-V7xJp-RtrA,1,1,1.0
0vDuX9EqFXUG3lBmWnD0MBvt0hReYbjsQMMcebz-b2-Ba6mwgjKUKNo2MOqf3rEDR7Vy07GS2XCw7g,1,0,0.0
0wzF8sD35WkF_qfvzju_9SWurw1Iy6FYFt9RwgV-bZgnBJTpy0yEJr92WZXH89ZeHEuc5rrnFzi82Q,1,1,1.0
0zxCM9bmsC8iHyC-q4C_tfgOKExmI38NIOaM9-HegoJ4QTO9I6FN9qUGF-baIf_-fR0pEE93skxavQ,1,0,0.0
103bvEBlAwrXPPREgUUsaLRq9CBQpppDlukfRcQkNAvwdVh-8DevXeoLy-gWLypCbcoUO0z_l8Keqw,1,0,0.0
10vERE0XJSKbOJJokMoEbR9i4_1SxWEUJS1vEWcnmRCOUQja0CKwDJ0Op8dd9aLZyHWhs9hiNegvDw,1,1,1.0
11CjC1BNK9lGXhRBcZxH3fTVll717d4XnbJTsTdiNhoyTZ6SeUgGE7iaqMlPRq74SiiqoZTHao0VUg,1,1,1.0
11vHPePLX7Wte_DjFAxFaJBEmLnw860KPXSQXJXcg31gxNUwsXTCZ0QAFw0sR_YlE12PCZGfTWJmYw,1,1,1.0
12hS-N6vseYu_Gq4ir8VVztsy4TfbCXXrFUMV_HvJYkOpkrHYJo7yUPMgI6KwrHAOICiXgCTMQecdA,1,1,1.0
13-OuIpZHYa6SByuA8QCWHQrSx4DQ1DxRs_lGD_LklusgJsrBFEYnAXlXmUweGi87zoUUqrx--zXPg,1,1,1.0
