puuid,games,wins,winrate
-Qm1ji3r27fMdU0a7OWVEtMIhq4Ub2bZQDcAh2mNm7xjyP6oYDTD3U5yqRaQPotuZmvuL9Ugj6QVbg,1,1,1.0
-R6X9VGwk1x84sxKutNi8wEjGuZROEupSSvedWFtsO5vWEd6jr3PMgcBy2_vGaKSjR7Sk-VHe1dtgg,1,0,0.0
-REl9BMFP8G7NF_ee11KyQopBFEyFy6Q_NF5SBYIqgU3xj3jKzT0hLwvGwbIPuu8vU_fDJ1gchhpQQ,2,1,0.5
-Rn1fKh-1zlnOzcIL-pw91ScSxCDYC3BoA6QtenhjobO4K7gfSoQzA0YXdDAwtZa-3_TVZk_2Cph2Q,1,0,0.0
-Sp1l2ZyJlds0e2Vh1lYzHhGEPThc-bLdwI9xv13bprD95L8a9UYEmQDLz4ipLRu7I9A9M1pLUV5BA,2,0,0.0
-TAVvlj5YSe2DDPQKJFtcpxcsZxyCW02ptX4etlEKtmX3Ec5qx4J_HvDU8cgU8nBuNld87i3UlJscQ,2,0,0.0
-TIijHfAysxMMGjIv0Fbsj2cQq9YoBE4UvxZizbBK-kW0I6fjQgUijfUichi_Sn8Y1Jh5tAPJkHFoQ,3,1,0.3333333333333333
-UW6i-LiWpvg7iDgHrLF4vCThE4O7qzKPycC7wFu5Soyr9wNYasvvPw7Tjf_mavXx5xOANrs9n699w,1,0,0.0
-WR-PmZmMEYFSqwZjVGMsQGcdN2sgg2MCl-UYcZFyQ1ox9FWMkkNYlVK88BMcLHjspDDFyLeCia9VA,1,0,0.0
-WXUEaeQYGguVNcoV8q7WcyATLXnWh6a0IWmZ7pqy25Us77KbfsjpfNIx4nBp-YDgZsmTROrYZrKqA,1,1,1.0
-YmwnoxPFwsFw6SDfHF1ryKVMqCfZS5nISheu0vyqstDTOtvZZ7mrMDEUkiIIM7jNGkUDP4UBhJgsA,1,0,0.0
-Z324rhgnFECuh_Ay-z2lwtKYPXIInYxBPXOGHL_AQs0Cyo58pX-YOMWz0hQI1idx1128ztyaxgDXg,2,0,0.0
-ZCkU_iBE2CoIy-1HLDU6EwzONdJyJncwkM7tyXUTKR3SNnWnjjmj1nibp5Oj0PfPIFY8nhlAIyqaA,2,2,1.0
-ZDmicG69v2dPlKEuir1rcRDI7w6pJq0TWkMre3qVhf2C1ySMUrahJPY2_QKqFAltIv2WH-PG5J2Og,1,0,0.0
-_Rdb5C_Qt1B-UHeuqI1jnI5P3IhTZ76kexkJG7eMZnAUN_wiyNnjMKTfx_Y8g3hl5FfGiZGnxeYbA,1,0,0.0
-_S2f_qDJr54gaQkX2ZuG9FrujgTZ-oDSZZs7iv2-Sj6wSrdtT92dNjGL1rOfxs4ZCbY9aiiJdTYDw,1,0,0.0
-_cgALq_u4eRDNCyBDsI0IXxkMXhK1VKhJOJdyJ1RxHctjmqdSk94KqY2I9FnbHXiPmqwhtuZDzMaA,1,0,0.0
-aIKrAA9BpgKnT21FIeGcsHR7h2uTHwPfQBv0o0FR8xMHQwBl6d1eJDC9sHs_YfOvZnzbXphpTha6A,1,0,0.0
-aWDk6Fd_r9S6ohawTFGFUD6OZPBYgN9A6-2eiwH2OjzcmeZYZgzFdYrHS4FgFDfpZn3xbsEYzqBow,2,1,0.5
-ax2eKKsbUPIT6nyHJ5tCqmKVxmuXmVaYTviHqnE-o-lHvotGhnGNRlSVkaQet3mH3JgjlTcxq_bYw,1,1,1.0
