puuid,games,wins,winrate
-AGYurQvXQXIUPeWI9ewYgGe_gZUfSJGJrbSMqlRRHGeYlIpKMFgZyrGKM6VkYJR-a5-EtBnXwnffA,2,1,0.5
-AGbjDBZPT-NMPxqEOoPD4awnS22pn8rTsHdi8yY5jVfeQ-7MVDBvf3UN2QHlW3DSxv3K8tja56J5A,1,1,1.0
-AJvoCFqHWWtz2_TLDGm8E86X5Qu4ci1mLTdS30H9GLJEJyIEQsBID7FJTGFRKF2u2d6CTrsyz6AVQ,1,0,0.0
-AMFSs6aeQg6NHwVFEECXB9_jQDehvPxWwSMidOvhR3CtA6o9fQvZVLqL17kMBAr40FUapzulB2f3w,2,0,0.0
-AeqX1W0OrBpm2mxdV0faheYufrohp6JSyI9pkOYSfTPS2yqzddx3WT838iJ_-FKoDQOZHddjZJYlQ,3,1,0.3333333333333333
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,1,1,1.0
-AoN1bmYfKeo41rAgh7uKgeH7c7MT4S2BjZdtiKwN4jc1n2OM6irILWHCSLRZOZvfWTRZAsIgcs8pA,7,4,0.5714285714285714
-Ar0dSR-MqM8Z1yIU9AFOfg0dhAn9PX19LSCKhl3H6otlw5vr3Ho5fdhkEtxBDyct15kmdbEDKXpNQ,1,0,0.0
-AwUFox7RVp29x0_wSgtfu5jC_dETSroABuF5h0UDhq-ku_LmgtUJdE6oveBrsd1GaOXTu_92TJ5hQ,2,1,0.5
-BFWTRCJ3aRJblB49ix57P9GvRmfXNvYM_ibc5-e5DSS9xFcwmEDCKmASxoRrDA7yhpGFnJLy3coBA,1,0,0.0
-BGIJzf24kuRJYEeFr-fSm00b8UYd39XkUxxM841Fe9F8xC3X2eUp2aUfdbHoPC1pd52YTYxvpO-0A,1,1,1.0
-BeKb6UUDYwBdXpM71wWPiBwMEigtpywFoNx82sb952YPo7ukg0_dAIMQzomMfYVniqWUvmyDwSUDw,2,1,0.5
-BevPl3Z622hc4VNBy0MkaSPzmoSLGe95JNhfmSSS97vLVdiOTdEm2YIVo5q-hy2rNBsbVB6xitlAA,2,1,0.5
-BqPHCS3-xHik0VFVRg2vFXvu0LYbTlfR39nDuPS2yUFM897MzExuL1GigWhmIJY2HF03HX3bzw6zw,1,0,0.0
-CK8NgjVgMP4-N6_6dtLoQiD3jrL9qOkKud-3eSSyiHjUU8dTTgjVX27ZgwkWxgvnlpwUww3gnCzbw,1,0,0.0
-CTkpU6gba5WbjhidjbVbafIMZi63DBqjngqaxrKhKmr76xq5Vqoh4hrKng8KbHnl3gUV0iYvkjNOg,1,0,0.0
-C_SjxsqBbLwizqfQRkiP6w0ktV6E-YKbbyKWO6swgnCMvoS9dGXy06EsT5BJdNRXepZwnaAo6Yv_A,2,2,1.0
-CglGeCYXQWFfTzXHuNp9vzrKkxgumbqgQ8eXrFmu9EK9GaGuDQxpKubmN6ME766UaCmKWV-CvQrsA,3,1,0.3333333333333333
-DXb2KQiP-mpj_MqpqP42CzCZE7CE2kX7qSy_qqFC7YiwwwueOEVHo1iQnajeZU7uYvniMRL1ghnSg,1,0,0.0
-DbtbBVFnCE_WnNrZQX5goTy7OSFMWu-IkJFyFY2EmbgJQSZ0MO2n92u3yO1prEti7AKZ7HxlNVaSw,1,0,0.0
